#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 KEcorr              BlockWeight         BlockCPU            AcceptRatio         
        70   -1.0379165357e+01    1.0799344792e+02   -2.2764222701e+01    1.2385057344e+01   -7.4189354847e+00    1.4740280820e-01   -2.7170225839e+00   -1.2775667440e+01   -2.4474629512e+00    9.5428230307e-02    6.0000000000e+01    3.7934167500e-03    7.6180555556e-01
        71   -1.0578295259e+01    1.1216666805e+02   -2.2448658300e+01    1.1870363041e+01   -7.7273483742e+00    6.9645335014e-01   -2.6420958361e+00   -1.2775667440e+01   -2.3638559404e+00    9.5428230307e-02    6.0000000000e+01    3.8160432500e-03    7.5277777778e-01
        72   -1.0469798787e+01    1.1021441115e+02   -2.2259736126e+01    1.1789937340e+01   -8.0489835470e+00    1.0866005245e+00   -2.5216856636e+00   -1.2775667440e+01   -2.3013609691e+00    9.5428230307e-02    6.0000000000e+01    3.7952832500e-03    7.7361111111e-01
        73   -1.0570985331e+01    1.1203961170e+02   -2.2209037098e+01    1.1638051767e+01   -7.2135278012e+00    3.5118002353e-01   -2.5710218803e+00   -1.2775667440e+01   -2.3241757693e+00    9.5428230307e-02    6.0000000000e+01    3.8359711667e-03    7.7569444444e-01
        74   -1.0384650965e+01    1.0829874145e+02   -2.2779914362e+01    1.2395263397e+01   -8.2385612055e+00    7.0500145760e-01   -2.4706871742e+00   -1.2775667440e+01   -2.2161183306e+00    9.5428230307e-02    6.0000000000e+01    3.8062940000e-03    7.6736111111e-01
        75   -1.0542806700e+01    1.1175601178e+02   -2.2019831924e+01    1.1477025224e+01   -7.9274123545e+00    1.2326576483e+00   -2.5494097773e+00   -1.2775667440e+01   -2.3891108690e+00    9.5428230307e-02    6.0000000000e+01    3.8285559167e-03    7.4166666667e-01
        76   -1.0494574247e+01    1.1039778668e+02   -2.3391804742e+01    1.2897230495e+01   -8.2720428995e+00    2.9320138398e-01   -2.6372957861e+00   -1.2775667440e+01   -2.3916317332e+00    9.5428230307e-02    6.0000000000e+01    3.8360201667e-03    7.5555555556e-01
        77   -1.0444988405e+01    1.0954707722e+02   -2.1202035501e+01    1.0757047096e+01   -7.0332943224e+00    1.1919850522e+00   -2.5850587910e+00   -1.2775667440e+01   -2.3159314332e+00    9.5428230307e-02    6.0000000000e+01    3.8260620000e-03    7.5833333333e-01
        78   -1.0412621222e+01    1.0862638234e+02   -2.0441318276e+01    1.0028697054e+01   -6.0001475286e+00    8.3960072959e-01   -2.5051040369e+00   -1.2775667440e+01   -2.1947731455e+00    9.5428230307e-02    6.0000000000e+01    3.8279515833e-03    7.6944444444e-01
        79   -1.0380830252e+01    1.0829411779e+02   -2.1852413341e+01    1.1471583089e+01   -7.4144214232e+00    6.6704768975e-01   -2.3293721670e+00   -1.2775667440e+01   -2.0538344754e+00    9.5428230307e-02    6.0000000000e+01    3.8105396667e-03    7.6527777778e-01
        80   -1.0295784913e+01    1.0844956524e+02   -2.3397921464e+01    1.3102136551e+01   -7.6952317683e+00   -4.3982335608e-01   -2.4871988996e+00   -1.2775667440e+01   -2.2372717618e+00    9.5428230307e-02    6.0000000000e+01    3.8059300833e-03    7.6250000000e-01
        81   -1.0525802336e+01    1.1121482720e+02   -2.2333351461e+01    1.1807549125e+01   -7.6758145757e+00    8.1882672026e-01   -2.7006961651e+00   -1.2775667440e+01   -2.4314637385e+00    9.5428230307e-02    6.0000000000e+01    3.7989987500e-03    7.4375000000e-01
        82   -1.0545749930e+01    1.1153181088e+02   -2.2360138695e+01    1.1814388765e+01   -7.6969732067e+00    6.5573474298e-01   -2.5432327909e+00   -1.2775667440e+01   -2.3147864039e+00    9.5428230307e-02    6.0000000000e+01    4.3126785000e-03    7.4513888889e-01
