#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 BlockWeight         BlockCPU            AcceptRatio         
        66   -1.0542036758e+01    1.1153312801e+02   -2.1987861542e+01    1.1445824784e+01   -7.1787190832e+00    6.0911198933e-01   -2.6425870075e+00   -1.2775667440e+01   -2.3996267563e+00    1.0183183203e+04    9.8584812600e-01    9.9500294667e-01
        67   -1.0531167742e+01    1.1133626333e+02   -2.2070681471e+01    1.1539513729e+01   -7.1777473780e+00    5.6031834788e-01   -2.6775850010e+00   -1.2775667440e+01   -2.4344651137e+00    1.0177077144e+04    9.7561243900e-01    9.9506191038e-01
        68   -1.0523022125e+01    1.1110397108e+02   -2.2098433567e+01    1.1575411442e+01   -7.1890847857e+00    5.7864091715e-01   -2.7123222582e+00   -1.2775667440e+01   -2.4780167067e+00    1.0237991424e+04    1.0506756560e+00    9.9470111350e-01
        69   -1.0520103525e+01    1.1104139788e+02   -2.2080878925e+01    1.1560775400e+01   -7.2727470419e+00    6.5078117304e-01   -2.6832456160e+00   -1.2775667440e+01   -2.4463418771e+00    1.0328558278e+04    1.0256970360e+00    9.9476040658e-01
        70   -1.0527431850e+01    1.1124169696e+02   -2.2110684471e+01    1.1583252621e+01   -7.3542359672e+00    6.7012972065e-01   -2.6509107840e+00   -1.2775667440e+01   -2.4076948407e+00    1.0356944271e+04    1.0067038740e+00    9.9477457038e-01
        71   -1.0539454203e+01    1.1144456226e+02   -2.2046804960e+01    1.1507350757e+01   -7.3158181415e+00    7.0416664057e-01   -2.6594860184e+00   -1.2775667440e+01   -2.4187399433e+00    1.0356175621e+04    1.0152941580e+00    9.9499082657e-01
        72   -1.0524615953e+01    1.1111762299e+02   -2.1912133598e+01    1.1387517645e+01   -7.1457949864e+00    6.6375141515e-01   -2.6544225865e+00   -1.2775667440e+01   -2.4088028168e+00    1.0370508028e+04    1.0044028230e+00    9.9511907057e-01
        73   -1.0522270385e+01    1.1109260409e+02   -2.1926834617e+01    1.1404564232e+01   -7.1361218151e+00    6.7288131928e-01   -2.6879266806e+00   -1.2775667440e+01   -2.4511476563e+00    1.0379300840e+04    1.0424711540e+00    9.9503901358e-01
        74   -1.0513514410e+01    1.1089161867e+02   -2.2014707971e+01    1.1501193561e+01   -7.2909433032e+00    7.1519493090e-01   -2.6632921584e+00   -1.2775667440e+01   -2.4232942286e+00    1.0396117126e+04    1.0160808020e+00    9.9448264256e-01
        75   -1.0524110338e+01    1.1114198138e+02   -2.2250701693e+01    1.1726591355e+01   -7.4488421223e+00    6.4276320889e-01   -2.6689553396e+00   -1.2775667440e+01   -2.4278200063e+00    1.0313070707e+04    1.0230908240e+00    9.9480075625e-01
        76   -1.0526583984e+01    1.1118469961e+02   -2.2226878183e+01    1.1700294199e+01   -7.4213155670e+00    6.0279878716e-01   -2.6326939628e+00   -1.2775667440e+01   -2.3870445532e+00    1.0441231873e+04    1.0328360010e+00    9.9413482716e-01
        77   -1.0523621074e+01    1.1110173194e+02   -2.2126742223e+01    1.1603121149e+01   -7.2968250881e+00    6.0974990926e-01   -2.6639996040e+00   -1.2775667440e+01   -2.4233994069e+00    1.0462613711e+04    1.0184227650e+00    9.9493549928e-01
        78   -1.0538072980e+01    1.1144581780e+02   -2.2110310324e+01    1.1572237344e+01   -7.2875835791e+00    6.3245496025e-01   -2.6795142646e+00   -1.2775667440e+01   -2.4482246238e+00    1.0415305099e+04    1.0251799690e+00    9.9493567588e-01
        79   -1.0537016611e+01    1.1141799316e+02   -2.2044712586e+01    1.1507695975e+01   -7.2249746683e+00    5.9742511910e-01   -2.6414955969e+00   -1.2775667440e+01   -2.4034302702e+00    1.0405416804e+04    1.0176550630e+00    9.9520709206e-01
        80   -1.0534394681e+01    1.1132142639e+02   -2.1986986881e+01    1.1452592199e+01   -7.1128640135e+00    6.0857765429e-01   -2.7070330813e+00   -1.2775667440e+01   -2.4720972436e+00    1.0467689610e+04    9.7188876800e-01    9.9509265450e-01
        81   -1.0512611506e+01    1.1087315633e+02   -2.1958969786e+01    1.1446358281e+01   -7.1472343861e+00    6.0310591750e-01   -2.6391738776e+00   -1.2775667440e+01   -2.4069178650e+00    1.0456464106e+04    9.7177524000e-01    9.9467017208e-01
        82   -1.0520116943e+01    1.1107310438e+02   -2.2106564936e+01    1.1586447993e+01   -7.2499534779e+00    5.7263448893e-01   -2.6535785069e+00   -1.2775667440e+01   -2.4175603121e+00    1.0427388397e+04    9.8935079900e-01    9.9461888782e-01
        83   -1.0518176439e+01    1.1101706372e+02   -2.2233810027e+01    1.1715633588e+01   -7.3025963783e+00    5.3424144469e-01   -2.6897876531e+00   -1.2775667440e+01   -2.4569113540e+00    1.0482959033e+04    9.9934759600e-01    9.9451649819e-01
        84   -1.0535072957e+01    1.1134849495e+02   -2.2229784575e+01    1.1694711618e+01   -7.3550487337e+00    5.9077563145e-01   -2.6898440328e+00   -1.2775667440e+01   -2.4581779552e+00    1.0491332012e+04    9.6830190300e-01    9.9467502144e-01
        85   -1.0512575647e+01    1.1085783684e+02   -2.2142821222e+01    1.1630245575e+01   -7.3042740059e+00    6.1820210529e-01   -2.6810818808e+00   -1.2775667440e+01   -2.4395878355e+00    1.0432776725e+04    9.7017914100e-01    9.9463395937e-01
        86   -1.0526754057e+01    1.1122745526e+02   -2.2138231917e+01    1.1611477860e+01   -7.3063236452e+00    6.5275490579e-01   -2.7089957376e+00   -1.2775667440e+01   -2.4705403378e+00    1.0420109413e+04    9.6132231800e-01    9.9453080023e-01
        87   -1.0533399967e+01    1.1143747186e+02   -2.2074907555e+01    1.1541507588e+01   -7.2683102579e+00    6.4259558518e-01   -2.6735254416e+00   -1.2775667440e+01   -2.4382306406e+00    1.0332907396e+04    9.4985727700e-01    9.9443530436e-01
        88   -1.0521876647e+01    1.1107548372e+02   -2.2061983388e+01    1.1540106741e+01   -7.2597713519e+00    6.5334223221e-01   -2.6798868284e+00   -1.2775667440e+01   -2.4356274303e+00    1.0354460917e+04    9.5533939800e-01    9.9495461568e-01
        89   -1.0518009698e+01    1.1098379588e+02   -2.2095550392e+01    1.1577540694e+01   -7.3432172878e+00    7.0304074172e-01   -2.6797064054e+00   -1.2775667440e+01   -2.4332383013e+00    1.0389935656e+04    9.5510060800e-01    9.9492397998e-01
        90   -1.0507456580e+01    1.1075554832e+02   -2.2217775379e+01    1.1710318799e+01   -7.4281054342e+00    6.4004946339e-01   -2.6540519678e+00   -1.2775667440e+01   -2.4075753799e+00    1.0304331155e+04    9.5572668600e-01    9.9488211895e-01
        91   -1.0515774124e+01    1.1096920036e+02   -2.2275534998e+01    1.1759760873e+01   -7.5308387351e+00    6.7730441670e-01   -2.6463332390e+00   -1.2775667440e+01   -2.3969515507e+00    1.0273569563e+04    9.4932291000e-01    9.9473236010e-01
        92   -1.0532224012e+01    1.1130846756e+02   -2.2105294885e+01    1.1573070873e+01   -7.2657841181e+00    6.0161086432e-01   -2.6654541906e+00   -1.2775667440e+01   -2.4166068915e+00    1.0301853757e+04    9.4686221900e-01    9.9473403223e-01
        93   -1.0530684868e+01    1.1127941902e+02   -2.2053597736e+01    1.1522912869e+01   -7.2144395798e+00    5.9351531485e-01   -2.6570060313e+00   -1.2775667440e+01   -2.4105852878e+00    1.0325779216e+04    9.5169803300e-01    9.9510943250e-01
        94   -1.0516381907e+01    1.1096021854e+02   -2.1970919673e+01    1.1454537766e+01   -7.0682476808e+00    5.4644273489e-01   -2.6734472868e+00   -1.2775667440e+01   -2.4334276568e+00    1.0339186576e+04    9.5850931400e-01    9.9465718983e-01
        95   -1.0542467127e+01    1.1150973618e+02   -2.1981515927e+01    1.1439048800e+01   -7.0748918188e+00    6.0486631211e-01   -2.7358229799e+00   -1.2775667440e+01   -2.5069660760e+00    1.0412047604e+04    1.0050951640e+00    9.9452554745e-01
        96   -1.0544729174e+01    1.1153549936e+02   -2.1939329496e+01    1.1394600322e+01   -7.0528701949e+00    6.3679485016e-01   -2.7475867113e+00   -1.2775667440e+01   -2.5169213701e+00    1.0372459666e+04    1.0133143860e+00    9.9468521018e-01
        97   -1.0525717760e+01    1.1113896901e+02   -2.2153406018e+01    1.1627688258e+01   -7.2477745904e+00    5.8503478137e-01   -2.7149987686e+00   -1.2775667440e+01   -2.4805324159e+00    1.0284629450e+04    9.7277839500e-01    9.9473748177e-01
        98   -1.0547939636e+01    1.1164224544e+02   -2.2191800666e+01    1.1643861030e+01   -7.3468947408e+00    6.1080857184e-01   -2.6800470568e+00   -1.2775667440e+01   -2.4441944588e+00    1.0271803351e+04    1.0025002010e+00    9.9463242454e-01
        99   -1.0560913914e+01    1.1188841856e+02   -2.2096185319e+01    1.1535271405e+01   -7.1934029265e+00    5.7862271519e-01   -2.7057376671e+00   -1.2775667440e+01   -2.4749247091e+00    1.0290987608e+04    1.0181536030e+00    9.9488481726e-01
       100   -1.0538412687e+01    1.1143020806e+02   -2.1999057702e+01    1.1460645014e+01   -7.1298427376e+00    6.1873151965e-01   -2.7122790434e+00   -1.2775667440e+01   -2.4753716282e+00    1.0178840930e+04    1.0112276720e+00    9.9466935246e-01
       101   -1.0525413378e+01    1.1116264624e+02   -2.1968659513e+01    1.1443246135e+01   -7.0502724600e+00    5.8528140179e-01   -2.7280010147e+00   -1.2775667440e+01   -2.4919771272e+00    1.0128011894e+04    1.0002133280e+00    9.9418633356e-01
       102   -1.0524705468e+01    1.1113727376e+02   -2.2032684142e+01    1.1507978674e+01   -7.1517651237e+00    6.0509404661e-01   -2.7103456248e+00   -1.2775667440e+01   -2.4736995277e+00    1.0099216623e+04    1.0173414830e+00    9.9459051297e-01
       103   -1.0532395459e+01    1.1130117494e+02   -2.2073335271e+01    1.1540939812e+01   -7.0899432960e+00    5.2985694954e-01   -2.7375814842e+00   -1.2775667440e+01   -2.5012319347e+00    1.0155413312e+04    9.9409026200e-01    9.9482962379e-01
       104   -1.0549549988e+01    1.1167370307e+02   -2.2115426997e+01    1.1565877009e+01   -7.2246136928e+00    5.8912504625e-01   -2.7042709102e+00   -1.2775667440e+01   -2.4678749668e+00    1.0255231541e+04    1.0178690460e+00    9.9468448259e-01
